"Nombre";"alcohol (etanol) (g)";"energía, total (kJ (kcal))";"grasa, total (lipidos totales) (g)";"proteina, total (g)";"agua (humedad) (g)";"fibra, dietetica total (g)";"carbohidratos (g)";"ácido graso 22:6 n-3 (ácido docosahexaenóico) (-)";"ácidos grasos, monoinsaturados totales (g)";"ácidos grasos, poliinsaturados totales (g)";"ácidos grasos saturados totales (g)";"ácido graso 12:0 (láurico) (-)";"ácido graso 14:0 (ácido mirístico) (g)";"ácido graso 16:0 (ácido palmítico) (g)";"ácido graso 18:0 (ácido esteárico) (g)";"ácido graso 18:1 n-9 cis (ácido oléico) (g)";"colesterol (mg)";"ácido graso 18:2 (g)";"ácido graso 18:3 (g)";"ácido graso 20:4 n-6  (ácido araquidónico) (-)";"ácido graso 20:5 (ácido eicosapentaenóico) (-)";"Vitamina A equivalentes de retinol de actividades de retinos y carotenoides (ug)";"Vitamina D (ug)";"Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E (mg)";"folato, total (ug)";"equivalentes de niacina, totales (mg)";"riboflavina (mg)";"tiamina (mg)";"Vitamina B-12 (ug)";"Vitamina B-6, Total (mg)";"Vitamina C (ácido ascórbico) (mg)";"calcio (mg)";"hierro, total (mg)";"potasio (mg)";"magnesio (mg)";"sodio (mg)";"fósforo (mg)";"ioduro (ug)";"selenio, total (ug)";"zinc (cinc) (mg)"
"Cebolla, asada";"0";"159 (38)
							";"0.2";"1.17";"89";"1.45";"7.74";"-";"traza";"0.1";"0.09";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"1.54";"0";"0.3";"11.48";"0.83";"0.02";"0.1";"0";"0.16";"3.38";"24.5";"0.29";"156.8";"3.92";"2.94";"29.4";"2.94";"0.98";"0.2"
"Cebolla, hervida";"0";"77 (18)
							";"0.1";"0.6";"92.6";"0.7";"3.7";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0.83";"0";"0.15";"9";"0.4";"0";"0.09";"0";"0.12";"3";"19";"0.3";"90";"3";"2";"16";"1";"0";"0.2"
"Cebollino, crudo";"0";"103 (25)
							";"0.525";"3";"91.3";"2.3";"1.9";"-";"0.08";"0.22";"0.12";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"500";"0";"0.9";"130";"0.65";"0.11";"0.08";"0";"0.13";"60";"86";"1.5";"275";"40";"3";"54";"1";"0.3";"0.4"
"Cecina";"0";"1015 (243)
							";"9.5";"39";"45";"0";"0";"-";"3.9";"0.5";"4.4";"-";"-";"-";"-";"-";"120";"-";"-";"-";"-";"21";"0";"";"0";"";"0.82";"0.16";"8.89";"0.36";"0";"48";"9.8";"62.2";"39";"2100";"321";"4.96";"";""
"Centeno, crudo";"0";"1701 (408)
							";"2.5";"14.8";"0";"14.6";"79.8";"-";"0.3";"1.1";"0.29";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"1.87";"60";"4.27";"0.25";"0.32";"0";"0.29";"0";"33";"2.67";"264";"121";"6";"374";"10";"35.3";"3.73"
"Centollo, crudo";"0";"534 (128)
							";"5.2";"20.1";"74.7";"0";"0";"-";"1.28";"2.47";"0.79";"-";"-";"-";"-";"-";"100";"-";"-";"-";"-";"traza";"traza";"2.3";"20";"6.1";"0.15";"0.1";"traza";"0.35";"traza";"29";"1.3";"270";"48";"370";"312";"40";"37.4";"5.5"
"Cerdo, chuleta, crudo";"0";"878 (211)
							";"15";"19";"65";"0";"0";"-";"6.8";"1.3";"5.8";"-";"-";"-";"-";"-";"80";"-";"-";"-";"-";"0";"traza";"0.1";"4";"4.2";"0.19";"0.74";"1.2";"0.4";"0";"9";"1.3";"285";"21";"69";"166";"3";"14";"1.6"
"Cerdo, costilla, crudo";"0";"1164 (279)
							";"23.6";"17.1";"56.9";"0";"0";"-";"10.7";"2.2";"9.3";"-";"-";"-";"-";"-";"77";"-";"-";"-";"-";"0";"traza";"0.05";"4";"4.9";"0.27";"0.62";"0.9";"0.4";"0";"7";"1";"260";"22";"75";"240";"2";"27.3";"1.3"
"Cerdo, lomo, asado";"0";"987 (237)
							";"14.2707";"27";"56.1";"0";"0";"-";"6.5";"1.6";"5.5";"-";"-";"-";"-";"-";"75";"-";"-";"-";"-";"traza";"traza";"0.1";"4";"4.2";"0.3";"0.52";"0.8";"0.36";"traza";"12";"1.1";"290";"20";"60";"170";"3";"20";"2.4"
"Cerdo, lomo, crudo";"0";"635 (152)
							";"8.9";"18";"66";"0";"0";"-";"4";"1.15";"3.28";"0.002";"0.022";"0.64";"0.211";"0.624";"65";"0.5";"0.02";"0.068";"0.009";"0";"traza";"0.1";"3";"4";"0.22";"0.76";"0.6";"0.4";"0";"9";"0.9";"212";"20";"63";"151";"2.6";"32.4";"2.4"
"Cerdo, panceta, cruda";"0";"1945 (467)
							";"46.6";"12.5";"40.4";"0";"0.5";"-";"21.2";"3.47";"19.39";"-";"-";"-";"-";"-";"72";"-";"-";"-";"-";"traza";"traza";"0.08";"1.5";"4.2";"0.12";"0.32";"traza";"0.27";"0";"6";"0.9";"230";"13";"1470";"120";"11";"1";"1.5"
"Cerdo, parte sin especificar";"0";"1133 (272)
							";"23";"16.6";"60.4";"0";"0";"0.082";"9.62";"3.51";"7.43";"0.006";"0.076";"4.895";"2.574";"6.794";"72";"2.996";"0.2";"0.466";"0.065";"traza";"traza";"0.01";"4";"7.6";"0.2";"0.7";"2";"0.33";"0";"8";"1.3";"370";"18";"760";"170";"";"14";"1.8"
"Cerdo, pierna, cruda, con grasa separable";"0";"885 (212)
							";"15.2";"19";"65.8";"0";"0";"-";"6.4";"2.5";"5.1";"-";"-";"-";"-";"-";"63";"-";"-";"-";"-";"0.1";"0.01";"0";"5";"8.7";"0.2";"0.89";"1";"0.45";"0";"8";"1.5";"370";"22";"80";"230";"5";"12";"2.5"
"Cerdo, solomillo, asado";"0";"664 (159)
							";"4.7009";"28.8";"65.2";"0";"0";"-";"2.2";"0.58";"1.7";"-";"-";"-";"-";"-";"73";"-";"-";"-";"-";"traza";"traza";"0.1";"6";"4.7";"0.4";"0.9";"0.6";"0.4";"traza";"9";"1.5";"540";"25";"65";"290";"1.1";"6.9";"2.4"
"Cerdo, solomillo, crudo";"0";"546 (131)
							";"5.1";"21";"74.4";"0";"0";"-";"2.367";"0.4418";"2.0514";"-";"-";"-";"-";"-";"72";"-";"-";"-";"-";"traza";"traza";"0.1";"4";"4.3";"0.26";"1";"0.7";"0.45";"0";"8";"1.2";"420";"25";"53";"230";"2.4";"14";"1.6"
"Cereales base trigo y chocolate";"0";"1606 (385)
							";"2.5";"8";"4";"4.5";"81";"-";"0.28";"0.32";"1.1";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"566";"4.2";"0.5";"167";"15";"1.3";"1.2";"0.85";"1.7";"50";"267";"7.9";"400";"50";"400";"100";"5";"48.6";"0.9"
"Cereales desayuno base de arroz chocolateado";"0";"1615 (388)
							";"1.1";"6";"6.3";"1.7";"86.6";"-";"0.6";"0.1";"1";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"167";"15";"1.3";"1.2";"0.8";"1.7";"0";"453";"7.9";"200.7";"39.6";"400";"89.3";"4.8";"9.2";"1"
"Cereales desayuno base de arroz y miel";"0";"1603 (385)
							";"1";"5.1";"5.9";"1";"87";"-";"0.34";"0.38";"0.27";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"566";"4.25";"0.5";"200";"15.3";"1.6";"1.2";"0.85";"1.7";"51";"267";"10";"140";"27.5";"0.4";"95";"5";"25.6";"0.85"
"Cereales desayuno base de arroz, trigo y fruta";"0";"1482 (356)
							";"2.2";"5.8";"9.6";"5.8";"76.6";"-";"traza";"traza";"1.4";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"7.4";"7.5";"11.4";"300";"27";"2.4";"2.1";"1.5";"3";"90";"21";"8.6";"313.6";"56";"800";"145";"4";"20.6";"1.4"
"Cereales desayuno base de maíz y miel";"0";"1643 (394)
							";"3.5";"6";"4.5";"3";"83";"-";"traza";"traza";"0.7";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"4.7";"4.2";"0.3";"167";"15";"1.3";"1.2";"0.8";"1.7";"0.1";"453";"7.9";"79";"17.4";"500";"51.3";"3.3";"4.9";"0.4"
"Cereales desayuno base de maíz y trigo";"0";"1587 (381)
							";"3";"6";"6.8";"3.4";"80.8";"-";"traza";"traza";"1.8";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"17";"340";"31";"2.7";"2.4";"1.7";"3.4";"102";"500";"24";"0";"50";"600";"170";"0";"0";"0"
"Cereales desayuno base de maíz, trigo y avena";"0";"1732 (416)
							";"6.8";"6.2";"5.2";"2.4";"80.9";"-";"0";"0";"4.6";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"170";"15.3";"1.4";"1.2";"0.85";"1.7";"51";"0";"11.9";"0";"0";"200";"0";"0";"0";"0"
"Cereales desayuno base de trigo azucarado";"0";"1603 (385)
							";"1.5";"7";"4";"3.5";"84";"-";"traza";"traza";"0.4";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"10.7";"4.2";"0.1";"167";"15";"1.3";"1.2";"0.8";"1.7";"0";"267";"7.9";"72.2";"10.4";"10";"26";"9.5";"2.1";"2.77"
"Cereales desayuno base de trigo y arroz";"0";"1584 (380)
							";"1";"16";"5.5";"2.5";"75";"-";"traza";"traza";"0.3";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"8.3";"0.3";"333";"30";"2.7";"2.3";"1.7";"3.3";"100";"15.7";"2.2";"180.2";"57.9";"792.9";"159.5";"4.7";"9.2";"1.7"
"Cereales desayuno base de trigo y frutas";"0";"1528 (367)
							";"5";"8";"16";"1.8";"71";"-";"traza";"traza";"2.5";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"6";"0.1";"0.3";"250";"11.3";"1";"0.9";"0.65";"1.3";"2.5";"26.8";"8.8";"181.1";"60";"600";"104";"6.1";"9.6";"1.1"
"Cereales desayuno base de trigo y miel";"0";"1652 (397)
							";"1.6";"5.7";"3.2";"1.5";"88";"-";"0.34";"0.44";"0.34";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0.3";"4.25";"0.5";"200";"15.3";"1.6";"1.2";"0.85";"1.7";"51";"12.4";"10";"184";"26.4";"0.1";"84.5";"8.5";"5.9";"0.7"
"Cereales desayuno base de trigo, avena, maiz y miel";"0";"1660 (398)
							";"4.9";"8";"5.1";"3";"79";"-";"traza";"traza";"1";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0.3";"3.5";"0";"170";"15.3";"1.4";"1.2";"0.85";"1.7";"51";"18";"11.9";"241";"78";"0.7";"230";"8.5";"5.9";"1.9"
"Cereales desayuno base de trigo, avena, maíz, miel y nueces";"0";"1636 (393)
							";"2.4";"11";"2.2";"4.4";"80";"-";"0.88";"0.86";"2.4";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.71";"60";"4.79";"0.13";"0.1";"0";"0.6";"0";"30";"13.9";"335";"110";"775";"360.7";"25.1";"5.1";"2.8"
"Cereales desayuno base muesli";"0";"1549 (372)
							";"6.9";"10.3";"9.1";"6.1";"65.8";"-";"3.4";"2.3";"0.5";"-";"-";"-";"-";"-";"0.3";"-";"-";"-";"-";"1";"0";"1.5";"268";"17.3";"1.4";"2.6";"1.4";"2.7";"84.3";"37.4";"8.4";"323";"77.7";"38.2";"288.7";"17.7";"5.9";"2.5"
"Cereales desayuno, maíz azucarado";"0";"1591 (382)
							";"0.5";"4.5";"5.5";"1.5";"88";"-";"traza";"traza";"0.5";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"9.3";"4.25";"0.1";"200";"15.3";"1.6";"1.2";"0.85";"1.7";"51";"13.1";"10";"99.1";"16.2";"0.5";"48.8";"4.7";"4.7";"0.3"
"Cereales para el desayuno, ricos en fibra, tipo ""all-bran""";"0";"1113 (267)
							";"2.7";"14";"3";"29";"45.6";"-";"0.31";"1.2";"0.46";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"2.8";"2.2";"300";"17.6";"1.3";"1.2";"0.8";"1.7";"53";"70";"15";"1150";"340";"800";"820";"18.4";"6.9";"6.7"
"Cereales, en polvo, solubles (eko)";"0";"1637 (393)
							";"0.42";"5.7";"6";"2.3";"89.7";"-";"0";"0.3";"0.1";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1.9";"0";"71";"0";"332";"0";"0";"0.9"
"Cereza";"0";"262 (63)
							";"0.5";"0.8";"83.7";"1.5";"13.5";"-";"0.084";"0.093";"0.07";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"3";"0";"0.1";"8";"0.4";"0.06";"0.05";"0";"0.05";"8";"16";"0.4";"255";"11";"2";"21";"2";"1.2";"0.12"
"Cerveza con alcohol";"3.96";"176 (42)
							";"0";"0.5";"92.4";"0";"3.12";"-";"0";"0";"0";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"traza";"0";"0";"6.3";"0.43";"0.033";"0.003";"0.15";"0.062";"0";"8";"0.01";"37";"9.6";"4.4";"55";"8";"1.2";"0.006"
"Cerveza sin alcohol";"0.33";"108 (26)
							";"0";"0.375";"93.9";"0";"5.4";"-";"0";"0";"0";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"15";"0.7";"0.0055";"0.006";"0.1";"0.034";"0";"5";"0.02";"40";"7.7";"2.6";"20";"1";"1.2";"0.008"
"Cerveza, baja en alcohol";"3.5";"141 (34)
							";"0";"0.2";"97.7";"0";"2.1";"-";"0";"0";"0";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"traza";"0";"0";"3";"0.7";"0.02";"traza";"traza";"0.05";"0";"10";"traza";"34";"6";"7";"20";"1";"traza";"traza"
"Cerveza, oscura, 8°- 9°";"6.15";"278 (67)
							";"traza";"0.6";"88.5";"0";"5.2571";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"traza";"0";"0";"9.5";"0.815";"0.055";"traza";"0.28";"0.05";"0";"11";"0.05";"92";"16.5";"11.5";"33.5";"8";"1.2";"0.01"
"Champiñon";"0";"110 (26)
							";"0.3";"1.8";"91.4";"2.5";"4";"-";"traza";"0.17";"0.07";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.12";"23";"4.6";"0.41";"0.1";"0";"0.1";"4";"9";"1";"470";"14";"5";"115";"3";"9";"0.1"
"Champiñones en conserva";"0";"58 (14)
							";"0.5";"2.25";"95.7";"1.5";"0.07";"-";"0.07";"0.17";"0.12";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.1";"23";"1.2";"0.19";"0.02";"0";"0.06";"1.7";"19";"0.8";"121";"15";"319";"69";"2";"8.8";"0.1"
"Chayote, crudo";"0";"95 (23)
							";"0.13";"0.82";"94.24";"1.7";"4.51";"-";"0.01";"0.057";"28";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.12";"93";"0.47";"0.029";"0.025";"0";"0.076";"7.7";"17";"0.34";"125";"12";"2";"18";"";"0.2";"0.74"
"Chicle, sin azúcar";"0";"11 (3)
							";"0.3";"0";"3";"0";"0";"-";"0.079";"0.137";"0.042";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"6";"0";"0";"0.6";"0"
"Chile, rojo";"0";"141 (34)
							";"0.4";"1";"90.3";"1.9";"6.4";"-";"traza";"0.2";"0.1";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"684.17";"0";"0.8";"23";"2.5";"0.15";"0.12";"0";"0.28";"225";"16";"1";"440";"21";"12";"39";"1";"traza";"0.3"
"Chile, verde";"0";"69 (17)
							";"0.3";"0.8";"94.4";"1.9";"2.6";"-";"traza";"0.2";"0.1";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"29.17";"0";"0.8";"29";"1.6";"0.08";"0.07";"0";"0.28";"120";"30";"1.2";"220";"24";"7";"80";"1";"traza";"0.4"
"Chipiron";"0";"340 (82)
							";"1.4";"16.25";"81.7";"0";"0.7";"-";"0.1";"0.5";"0.408";"-";"-";"-";"-";"-";"167.5";"-";"-";"-";"-";"77.03";"traza";"2.7";"5.12";"7.04";"0.15";"0.07";"1.31";"0.03";"0";"144";"0.32";"280";"37.84";"110";"190";"64";"44.8";"1.08"
"Chirimoya";"0";"364 (87)
							";"0.2";"1";"76.9";"1.9";"20";"-";"0.1";"0.3";"0.2";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"9.8";"0";"0.01";"12.6";"0.9";"0.09";"0.08";"0";"0.03";"18";"30";"0.6";"382";"18";"4";"21";"1.5";"-";"0.11"
"Chirla";"0";"196 (47)
							";"0.5";"10.7";"88.8";"0";"0";"-";"0.03";"0.13";"0.05";"-";"-";"-";"-";"-";"40";"-";"-";"-";"-";"250";"traza";"0.4";"17";"4.1";"0.14";"0.04";"traza";"0.1";"traza";"128";"24";"43";"51";"601";"130";"160";"45";"1.3"
"Chistorra";"0";"2144 (515)
							";"50.5";"15.3";"33.3";"0";"0.9";"-";"18.7";"2.6";"26.8";"-";"-";"-";"-";"-";"76";"-";"-";"-";"-";"181.33";"traza";"0.57";"2";"11.5";"0.25";"0.56";"0.85";"0.16";"0";"13";"1.7";"232";"23";"889";"90";"11";"21.1";"1.4"
"Chocolate blanco";"0";"2279 (547)
							";"30.9";"8";"1.5";"0.8";"58.8";"-";"9.9";"1.1";"18.2";"-";"-";"-";"-";"-";"23";"-";"-";"-";"-";"26";"traza";"1.14";"10";"5.4";"0.49";"0.08";"traza";"0.07";"0";"270";"0.2";"350";"26";"110";"230";"6";"3";"0.9"
"Chocolate con leche";"0";"2241 (538)
							";"31.5";"9.19";"2.9";"0.8";"54.1";"-";"10.23";"1.088";"18.96";"0.177";"0.555";"8.1";"9.353";"7.781";"28";"1.008";"0.071";"-";"-";"33.16";"0";"0.7";"10";"2.223";"0.37";"0.11";"traza";"0.11";"traza";"247";"1.7";"465";"71";"58";"261";"5.5";"3";"1.7"
"Chocolate con leche y almendras";"0";"2288 (549)
							";"35";"8.6";"2.7";"3.9";"49.8";"0";"8.9";"0.8";"16.6";"0.263";"0.806";"7.562";"7.48";"11.575";"12";"2.937";"0.082";"0";"0";"48.7";"0.1";"0.5";"11.4";"0.8";"0.4";"0.09";"0.25";"0.05";"0.2";"209";"1.4";"441";"80";"106";"246";"12";"1.2";"0.0008"
"Chocolate con leche y arroz";"0";"2153 (517)
							";"26.3";"6.4";"2.7";"1.6";"63";"0";"8.8";"0.8";"16.4";"0.241";"0.74";"6.64";"6.808";"8.231";"11.9";"0.66";"0.044";"0";"0";"48.4";"0.1";"0.5";"18";"0.7";"0.27";"0.07";"0.25";"0.05";"0.2";"169";"0.9";"322";"44";"105";"190";"12";"1.2";"0.001"
"Chocolate con nueces de macadamia";"0";"2458 (590)
							";"41.3";"7.1";"2.2";"1.8";"47.6";"0";"18.8";"1.2";"20.6";"0.224";"0.447";"9.4";"11.2";"11.3";"15.6";"1.23";"0.112";"0";"0";"61.3";"0.1";"0.6";"7.1";"0.6";"0.29";"0.1";"0.27";"0.07";"0.2";"193";"1.1";"386";"61";"113";"205";"13";"1";"0.0012"
"Chocolate negro, con almendras";"0";"2229 (535)
							";"37.4";"8.2";"3.8";"9.1";"41.5";"0";"8.6";"0.8";"16.3";"-";"-";"-";"-";"-";"9.1";"1.642";"0.062";"-";"0";"30.2";"0";"0.4";"13.8";"1.2";"0.25";"0.08";"0";"0.04";"0";"78";"2.5";"460";"139";"106";"219";"0";"0.1";"0.001"
"Chocolate negro, con azúcar";"0";"2215 (532)
							";"30";"2";"5";"-";"63";"0";"9.3";"0.85";"16.8";"0";"0.03";"8.69";"11.35";"11.15";"0";"0.96";"0.03";"0";"0";"2";"0";"0.55";"10";"0.6";"0.15";"0.03";"0";"0.043";"0";"63";"2.8";"327";"103";"19";"147";"10";"2.8";"1.5"
"Chocolate, negro";"0";"2262 (543)
							";"29.2";"4.7";"1.3";"-";"64.8";"-";"9.3";"1.2";"16.9";"0.016";"0.045";"8.432";"10.883";"8.013";"9";"0.989";"0.048";"-";"0.003";"8.6667";"0";"0.1333";"6";"0.9667";"0.1367";"0.0467";"0";"0.05";"0";"37.6667";"1.5";"359.667";"123.667";"12.3333";"181.333";"2.3";"6.8";"2.2333"
"Choped pork";"0";"1288 (309)
							";"27";"14";"56";"0";"3";"0.011";"11.29";"4.17";"9.4";"0.017";"0.239";"4.153";"2.022";"5.767";"72";"2.576";"0.19";"0.068";"-";"traza";"traza";"0.25";"traza";"5.9";"0.21";"0.33";"traza";"0.05";"0";"13";"2.2";"207";"9";"668";"160";"1";"18.6";"2.9"
"Chorizo";"0";"1346 (323)
							";"23.1";"27";"47";"0";"1.9";"-";"11";"2.502";"9.6";"0.023";"0.298";"4.979";"2.541";"6.764";"72.6";"2.545";"0.151";"0.036";"-";"traza";"traza";"0.29";"0.9";"7.1";"0.15";"0.33";"0.9";"0.14";"0";"18.4";"2.1";"180";"10.3";"1060";"270";"10.9";"21.1";"1.2"
"Chufa, cruda";"0";"1706 (409)
							";"23.74";"6.13";"7.095";"17.4";"42.5402";"-";"16.4693";"2.2093";"4.0169";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"10";"141";"1.8";"0.1";"0.23";"0";"0.33";"6";"69.54";"3.41";"519.2";"86.88";"37.63";"232.225";"0";"0";"4.19"
"Churro";"0";"1498 (360)
							";"20";"4.6";"34.2";"1.2";"40";"-";"6.37";"10";"2.62";"-";"-";"-";"-";"-";"traza";"-";"-";"-";"-";"traza";"0";"0.34";"11";"1.6";"0.03";"0.04";"0";"0.1";"0";"7";"0.6";"146";"14";"2";"108";"10";"4";"0.4"
"Ciervo, parte s/e, crudo, con grasa separable";"0";"437 (105)
							";"1.6";"22.2";"76.2";"0";"0";"0.041";"0.4";"0.4";"0.8";"-";"0.255";"1.713";"1.188";"1.657";"50";"1.287";"0.01";"0.379";"0.113";"0";"traza";"0.2";"4";"6.37";"0.48";"0.22";"6.31";"0.37";"0";"5";"3.3";"340";"25";"55";"210";"6";"9.7";"2.4"
"Cigala";"0";"361 (87)
							";"1.4";"17.7";"80.4";"0";"0.5";"-";"0.2";"0.5";"0.2";"-";"-";"-";"-";"-";"105";"-";"-";"-";"-";"traza";"traza";"1.5";"17";"1.3";"0.05";"0.08";"1";"0.1";"0";"100";"1";"400";"30";"400";"300";"30";"41.4";"0.8"
"Ciruela, con piel, cruda";"0";"224 (54)
							";"0.2";"0.75";"82.35";"2.3";"12";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"20";"0";"0.5";"3";"0.5";"0.035";"0.055";"0";"0.05";"6";"12.5";"0.45";"236.5";"11.5";"0.5";"29";"traza";"0.5";"0.4"
"Ciruela, sin piel";"0";"197 (47)
							";"traza";"0.6";"86.3";"2.1";"11";"-";"0.052";"0.078";"0.022";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"49.2";"0";"0.7";"3";"0.5";"0.05";"0.07";"0";"0.05";"3";"14";"0.4";"240";"8";"2";"10";"2";"traza";"0.1"
"Coco, desecado";"0";"2452 (588)
							";"58";"6.2";"7";"17";"11.8";"-";"3.8";"0.9";"49.9";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.7";"9";"0.3";"0.02";"0.03";"0";"0.3";"2";"26";"3.32";"543";"90";"37";"206";"0.3";"18.5";"2.01"
"Coco, fresco";"0";"1554 (373)
							";"33.5";"3.3";"39";"9";"15.2";"-";"1.4";"0.37";"29.7";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.7";"26";"1.1";"0.02";"0.03";"0";"0.04";"2";"13";"2.1";"405";"52";"17";"94";"1";"10.1";"0.5"
"Col blanca, cruda";"0";"150 (36)
							";"0.9";"4.3";"88.1";"4.2";"2.54";"-";"0.017";"0.4899";"0.105";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"4";"0";"1.7";"77";"2.07";"0.25";"0.1";"0";"0.25";"37.4";"57";"1.9";"270";"31";"35";"87";"4.5";"1.4";"0.33"
"Col de bruselas, cruda";"0";"146 (35)
							";"0.5";"4";"84.4";"4.3";"3.5";"-";"traza";"0.2";"0.1";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"13";"0";"0.9";"55.6";"0.69";"0.13";"0.14";"0";"0.28";"110";"31";"1.1";"411";"23";"9";"77";"10";"1.6";"0.5"
"Col lombarda, hervida";"0";"75 (18)
							";"0.3";"1";"91.4";"2.4";"2.75";"-";"traza";"0.15";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"1";"0";"0.7";"34";"0.2";"0.02";"0.03";"0";"0.1";"33";"37";"0.4";"140";"9";"3";"29";"1";"0.4";"0.1"
"Col rizada, cruda";"0";"141 (34)
							";"1.6";"3.4";"90.3";"3.3";"1.4";"-";"0.1";"0.9";"0.2";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"165.83";"0";"0.2";"150";"1";"0.03";"0.15";"0";"0.19";"62";"53";"1.1";"320";"7";"5";"44";"0";"2";"0.3"
"Coliflor, congelada, cruda";"0";"76 (18)
							";"0.175";"2";"92.5";"2.3";"2.1";"-";"traza";"0.14";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.12";"64";"0.43";"0.07";"0.05";"0";"0.12";"47";"22";"0.5";"193";"12";"24";"35";"1";"0.4";"0.6"
"Coliflor, hervida";"0";"114 (27)
							";"0.87";"2.76";"90.6";"1.6";"2.04";"-";"0.1";"0.5";"0.2";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"1";"0";"0.1";"35.7";"0.91";"0.03";"0.05";"0";"0.12";"18.23";"16.15";"0.35";"87";"9.6";"2.9";"49.4";"0";"0";"0.35"
"Comino";"0";"1748 (419)
							";"18.2";"17.8";"8.1";"10.5";"45.4";"-";"";"";"";"-";"-";"-";"-";"-";"";"-";"-";"-";"-";"127";"0";"0";"0";"4.579";"0.327";"0.628";"0";"0";"7.71";"931";"66.35";"1788";"356";"168";"499";"";"";""
"Complejo vitaminico";"0";"2361 (567)
							";"45.93";"20.15";"";"";"18.78";"-";"8.16";"26.71";"11.03";"-";"-";"-";"-";"-";"";"-";"-";"-";"-";"44890";"561.16";"561.16";"11222";"1010.1";"89.78";"78.56";"56.12";"112.23";"3367";"";"785.63";"123.45";"";"";"";"8417.5";"2805.8";"1683.5"
"Conejo de granja, carne, cruda";"0";"548 (132)
							";"5.3";"20.7";"74";"0";"0";"0.0004";"2.11";"1.76";"3.03";"-";"0.05";"0.62";"0.147";"0.512";"58";"0.504";"0.021";"0.009";"0.003";"traza";"traza";"0.54";"5";"8.6";"0.14";"0.1";"10";"0.42";"traza";"22";"1";"360";"25";"67";"220";"3";"17";"1.4"
"Conejo, entero, estofado";"0";"814 (195)
							";"8.6773";"29";"62.3";"0";"0";"-";"2.8";"2";"3.4";"-";"-";"-";"-";"-";"90";"-";"-";"-";"-";"7.0017";"0.2";"0.01";"4";"8.1";"0.24";"0.07";"9.8";"0.47";"0";"17";"2.1";"255";"21";"37";"213";"3";"16";"0.9"
"Confitura, frutas s/e, baja en calorías";"0";"944 (226)
							";"traza";"0.5";"43.7";"0.8";"55";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"12";"1";"105";"7";"14";"14";"2.7";"2";"0"
