"Nombre";"alcohol (etanol) (g)";"energía, total (kJ (kcal))";"grasa, total (lipidos totales) (g)";"proteina, total (g)";"agua (humedad) (g)";"fibra, dietetica total (g)";"carbohidratos (g)";"ácido graso 22:6 n-3 (ácido docosahexaenóico) (-)";"ácidos grasos, monoinsaturados totales (g)";"ácidos grasos, poliinsaturados totales (g)";"ácidos grasos saturados totales (g)";"ácido graso 12:0 (láurico) (-)";"ácido graso 14:0 (ácido mirístico) (g)";"ácido graso 16:0 (ácido palmítico) (g)";"ácido graso 18:0 (ácido esteárico) (g)";"ácido graso 18:1 n-9 cis (ácido oléico) (g)";"colesterol (mg)";"ácido graso 18:2 (g)";"ácido graso 18:3 (g)";"ácido graso 20:4 n-6  (ácido araquidónico) (-)";"ácido graso 20:5 (ácido eicosapentaenóico) (-)";"Vitamina A equivalentes de retinol de actividades de retinos y carotenoides (ug)";"Vitamina D (ug)";"Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E (mg)";"folato, total (ug)";"equivalentes de niacina, totales (mg)";"riboflavina (mg)";"tiamina (mg)";"Vitamina B-12 (ug)";"Vitamina B-6, Total (mg)";"Vitamina C (ácido ascórbico) (mg)";"calcio (mg)";"hierro, total (mg)";"potasio (mg)";"magnesio (mg)";"sodio (mg)";"fósforo (mg)";"ioduro (ug)";"selenio, total (ug)";"zinc (cinc) (mg)"
"Nuez";"0";"2477 (595)
							";"63.28";"14";"18.5";"5.2";"3.3";"0.04";"12.13";"43.7";"7.42";"0";"0.03";"6.25";"2.9";"13.13";"0";"36.77";"1.48";"0";"0.03";"0";"0";"0.8";"66";"3.5";"0.12";"0.3";"0";"0.73";"traza";"77";"2.3";"690";"140";"3";"304";"9";"19";"2.1"
"Nuez moscada";"0";"2280 (547)
							";"36.3";"5.8";"6.2";"20.8";"49.29";"-";"3.2";"0.35";"25.9";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"10.2";"0";"2.5";"76";"1.3";"0.06";"0.35";"0";"0.3";"3";"184";"3";"350";"183";"16.2";"213";"-";"1.6";"2.2"
"Nuez, cruda, con cáscara";"0";"2477 (595)
							";"59";"14";"18.5";"5.2";"3.3";"0.04";"12.4";"40.23";"6.43";"0";"0.03";"6.25";"2.9";"13.13";"0";"36.77";"1.48";"0";"0.03";"0";"0";"0.8";"66";"3.5";"0.12";"0.3";"0";"0.73";"traza";"77";"2.3";"690";"140";"3";"304";"9";"19";"2.1"
"Oca, sin piel, asada";"0";"1149 (276)
							";"17.672";"29.1";"52";"0";"0";"-";"6.9";"2.5";"7.3";"-";"-";"-";"-";"-";"75";"-";"-";"-";"-";"7";"0.01";"0.02";"12";"4.1";"0.4";"0.09";"1.2";"0.45";"0";"12";"3.7";"400";"28";"120";"290";"1.2";"24";"2.6"
"Orégano, seco";"0";"1740 (418)
							";"10.3";"11";"9.93";"42.8";"68.92";"-";"0.7";"5.2";"2.7";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"690";"0";"18.9";"0";"6.2";"0.528";"0.177";"0";"1.044";"0";"1580";"44";"1670";"270";"15";"200";"-";"5.9";"4.4"
"Ostra, cruda";"0";"267 (64)
							";"2.21";"8.145";"84.12";"0";"2.76";"0.159";"0.3102";"0.8757";"0.3739";"-";"0.015";"0.079";"0.048";"0.088";"53.5";"0.016";"0.007";"0.014";"0.12";"75";"3";"0.85";"8";"1.85";"0.195";"0.14";"16.75";"0.135";"traza";"116";"6";"240";"43";"395";"187.5";"20";"63.7";"59.2"
"Paella";"0";"719 (173)
							";"5.74";"12.37";"63.95";"0.5";"17.44";"-";"2.98";"0.75";"1.1";"-";"-";"-";"-";"-";"44.81";"-";"-";"-";"-";"11.12";"traza";"0.63";"11.75";"4.21";"0.1";"0.07";"0.54";"0.25";"7.73";"27.22";"1.28";"123.81";"21.23";"47.83";"72.11";"14.29";"0";"0.98"
"Paella marinera";"0";"511 (123)
							";"0.62";"3.55";"68.7";"2.03";"25.13";"-";"0.212";"0.07";"0.238";"-";"-";"-";"-";"-";"17";"-";"-";"-";"-";"17.96";"traza";"0.47";"25.9";"3.01";"0.15";"0.18";"21.3";"0.13";"2.8";"20.3";"0.73";"214.3";"23.2";"429.3";"204.2";"11.2";"10.7";"0.19"
"Palmera";"0";"2232 (536)
							";"30";"5";"1.6";"2.4";"61";"-";"11.51";"2.33";"15.24";"0.01";"0.05";"2.273";"0.231";"1.272";"92";"0.736";"0.006";"-";"-";"120";"0.92";"4.8";"17.2";"0.8";"0.03";"0.03";"1.1";"0.07";"0";"11";"2";"76";"11";"431";"50";"10";"16.2";"0.4"
"Palmito, en conserva";"0";"195 (47)
							";"0.3";"2.8";"87.4";"traza";"8";"-";"traza";"traza";"traza";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"1.6667";"0";"0.9";"28";"0.4";"0.09";"0.07";"0";"0.1";"7";"44";"0.4";"163";"23";"620";"71";"-";"0.7";"traza"
"Palometa, cruda";"0";"525 (126)
							";"1.8";"20";"75";"0";"traza";"0.331";"0.4";"0.43";"0.79";"0.002";"0.087";"0.412";"0.184";"0.25";"79";"0.001";"0.002";"0.038";"0.035";"36";"16";"2.6";"1.2";"9";"0.08";"0.05";"10";"0.63";"traza";"25";"0.7";"430";"28";"110";"250";"48";"45";"0.5"
"Palomitas de maíz, sin aceite, sin sal";"0";"1429 (343)
							";"4.2";"12";"4.1";"15";"62.9";"-";"1.1";"1.9";"0.6";"-";"-";"3.476";"1.222";"13.79";"0";"19.558";"0.076";"-";"-";"20";"0";"11";"23";"2";"0.2";"0.2";"0";"0.2";"0";"10";"2.7";"301";"106";"4";"300";"2";"7.3";"1.7"
"Pan blanco, de barra";"0";"999 (240)
							";"1.6";"8.3";"34.6";"3.5";"47";"-";"0.28";"0.34";"0.39";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"traza";"23";"1.7";"0.05";"0.08";"0";"0.06";"0";"56";"1.6";"120";"25";"650";"90";"4.7";"28";"0.6"
"Pan blanco, de barra, sin sal";"0";"1095 (263)
							";"1.1493";"8";"32";"3.5";"53.9";"-";"0.14";"0.4";"0.23";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.18";"23";"1";"0.05";"0.09";"0";"0.12";"0";"20";"1.7";"100";"26";"2";"90";"7.3";"5.6";"0.6"
"Pan blanco, de molde, tostado";"0";"1038 (249)
							";"3.7";"7.3";"36.9";"3.6";"45.7";"-";"0.73";"1.17";"0.56";"0.009";"0.019";"0.915";"0.343";"1.427";"0";"1.258";"0.081";"-";"-";"0";"traza";"0.4";"27";"1.5";"0.04";"0.19";"traza";"0.1";"0";"24";"1.4";"129";"21";"613";"91";"7";"33.6";"0.5"
"Pan blanco, frito";"0";"1085 (260)
							";"1.6";"8.82";"34.4";"3.5";"51.5";"-";"0.28";"0.34";"0.39";"-";"-";"-";"-";"-";"traza";"-";"-";"-";"-";"0";"0";"0";"9";"3.1";"0.04";"0.15";"0";"0.05";"0";"54.88";"89.18";"107.8";"24.6";"509.6";"89.18";"3.92";"traza";"0.59"
"Pan blanco, tipo ""baguette""";"0";"1129 (271)
							";"1.1493";"8";"29";"3.5";"55.9";"-";"0.14";"0.4";"0.23";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.18";"23";"1";"0.05";"0.09";"0";"0.12";"0";"23";"1.5";"120";"26";"650";"90";"7.3";"5.6";"0.6"
"Pan blanco, tostado";"0";"1271 (305)
							";"2.5";"10.1";"23.7";"4.5";"59.2";"-";"0.4";"1";"0.6";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.01";"21";"3.4";"0.15";"0.23";"0";"0.09";"0";"85";"2.2";"100";"28";"650";"100";"7";"33.6";"0.6"
"Pan blanco, tostado sin sal";"0";"1271 (305)
							";"2.5";"10.1";"23.7";"4.5";"59.2";"-";"0.4";"1";"0.6";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.01";"21";"3.4";"0.15";"0.23";"0";"0.09";"0";"85";"2.2";"100";"28";"3";"100";"7";"33.6";"0.6"
"Pan de avena";"0";"1130 (271)
							";"4.4";"8.4";"34.7";"4";"48.5";"-";"1.6";"1.7";"0.7";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"2";"0";"0.61";"62";"3.14";"0.24";"0.4";"0.03";"0.07";"0";"43";"3.15";"165";"68";"23.4";"147";"12.2";"24.6";"1.02"
"Pan de cebada";"0";"828 (199)
							";"1.1";"6.4";"52.6";"4.6";"39.9";"-";"0.3";"0.7";"0.5";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"3.8";"0.3";"0.8";"47.3";"5.2";"0.06";"0.15";"0.1";"0.1";"0.2";"3.7";"0.3";"61.2";"9.7";"1.5";"93.2";"21.4";"7.3";"2.4"
"Pan de centeno";"0";"921 (221)
							";"1";"6.21";"40.5";"6.46";"45.8";"-";"0.1";"0.5";"0.101";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"1.1";"16";"3.02";"0.11";"0.18";"0";"0.09";"0";"29";"2.4";"244";"35";"523";"119";"8.5";"30.9";"1.2"
"Pan de leche";"0";"1733 (416)
							";"18.3";"10";"18";"2.3";"52.1";"-";"";"";"4.4";"-";"-";"-";"-";"-";"";"-";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"128";"";"";"";"174";"";"";"";""
"Pan de maíz";"0";"1310 (314)
							";"10";"7.2";"32.3";"2.4";"48.1";"-";"5.1";"1.2";"1.76";"-";"-";"-";"-";"-";"61";"-";"-";"-";"-";"44";"0";"0.85";"55";"1.5";"0.27";"0.24";"0.16";"0.1";"0.8";"73";"1.9";"128";"20";"778";"376";"80";"9.9";"0.63"
"Pan integral";"0";"1044 (251)
							";"3";"10.9";"36.1";"6";"44";"-";"1.4";"0.8";"0.7";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.66";"37";"6.67";"0.33";"0.35";"0.08";"0.32";"0.3";"99";"3.77";"222";"58";"530";"191";"5";"32.1";"1.38"
"Pan integral, de molde, tostado";"0";"1044 (251)
							";"3";"10.9";"36.1";"6";"44";"-";"1.4";"0.8";"0.7";"0.009";"0.019";"0.915";"0.343";"1.427";"0";"1.258";"0.081";"-";"-";"0";"0";"0.66";"37";"6.67";"0.33";"0.35";"0.08";"0.32";"0.3";"99";"3.77";"222";"58";"530";"191";"5";"32.1";"1.38"
"Pan integral, sin sal";"0";"1044 (251)
							";"3";"10.9";"36.1";"6";"44";"-";"1.4";"0.8";"0.7";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.66";"37";"6.67";"0.33";"0.35";"0.08";"0.32";"0.3";"99";"3.77";"222";"58";"3";"191";"5";"32.1";"1.38"
"Pan integral, tostado";"0";"1119 (269)
							";"2.9";"10.8";"28.9";"8.7";"48.7";"-";"0.6";"1.12";"0.6";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.2";"46";"6.9";"0.1";"0.34";"0";"0.14";"0";"63";"3.2";"270";"89";"640";"230";"traza";"41";"2.1"
"Pan rallado";"0";"1079 (259)
							";"1.6";"8.47";"34.9";"3.5";"51.5";"-";"0.28";"0.34";"0.39";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"traza";"23";"2.98";"0.06";"0.086";"0";"0.06";"0";"56";"1.6";"110";"25.1";"540";"91";"4.7";"28";"0.61"
"Pan tostado integral";"0";"1271 (305)
							";"2.5";"10.1";"23.7";"4.5";"59.2";"-";"0.6";"0.9";"0.6";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"0.2";"46";"3.4";"0.15";"0.23";"0";"0.09";"0";"85";"3.2";"100";"28";"640";"100";"traza";"33.6";"0.6"
"Pan, tipo hamburguesa";"0";"1110 (266)
							";"4.7";"7.54";"36.2";"4.1";"47.5";"-";"1.4";"1.3082";"1";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0.01";"0";"0.26";"26";"2.49";"0.14";"0.32";"0.91";"0.1";"0";"210.5";"2.3";"110";"34.03";"550";"150";"2.6";"28";"1.84"
"Panceta, frita";"0";"3073 (737)
							";"80.9";"4.68";"12.8";"traza";"traza";"-";"36.1";"8.9";"31.5";"-";"-";"-";"-";"-";"198";"-";"-";"-";"-";"traza";"traza";"0.09";"traza";"0.77";"traza";"traza";"traza";"traza";"traza";"2.85";"0.67";"60";"3.7";"420";"35.15";"10.45";"0.95";"0.57"
"Panga, cruda";"0";"277 (67)
							";"1.2";"13.4";"83.8";"0";"0.3";"-";"0.44";"0.17";"0.47";"-";"-";"-";"-";"-";"29.8";"-";"-";"-";"-";"1.99";"0.05";"0.16";"";"0.35";"0.04";"0.04";"0.3";"0.1";"0";"36.7";"0.21";"200";"17.6";"274";"107";"8";"9.6";"0.24"
